Year,Statistic,Name(s),Team(s),Value
1903,Base on Balls,Jimmy Barrett,Detroit,74
1903,Batting Average,Nap Lajoie,Cleveland,.344
1903,Doubles,Socks Seybold,Philadelphia,45
1903,Hits,Patsy Dougherty,Boston,195
1903,Home Runs,Buck Freeman,Boston,13
1903,On Base Percentage,Jimmy Barrett,Detroit,.407
1903,RBI,Buck Freeman,Boston,104
1903,Runs,Patsy Dougherty,Boston,107
1903,Slugging Average,Nap Lajoie,Cleveland,.518
1903,Stolen Bases,Harry Bay,Cleveland,45
1903,Total Bases,Buck Freeman,Boston,281
1903,Triples,Sam Crawford,Detroit,25
